case,z3,pz3
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_1.smt2,27,216
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_10.smt2,66,4438
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_100.smt2,600000,7395
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_11.smt2,93,7074
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_12.smt2,169,7449
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_13.smt2,340,12357
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_14.smt2,718,6651
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_15.smt2,1527,7040
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_16.smt2,3514,10670
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_17.smt2,7077,10398
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_18.smt2,17406,9185
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_19.smt2,39054,6478
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_2.smt2,28,1739
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_20.smt2,105957,4408
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_21.smt2,317292,11709
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_22.smt2,600000,10455
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_23.smt2,600000,8734
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_24.smt2,600000,8551
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_25.smt2,600000,8856
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_27.smt2,600000,10567
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_28.smt2,600000,9274
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_29.smt2,600000,8318
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_3.smt2,28,2296
