case,cvc,pcvc
/home/cxcfan/dev/testbench/smt/bm/QF_UF/eq_diamond/eq_diamond16.smt2,10,20
/home/cxcfan/dev/testbench/smt/bm/QF_UF/eq_diamond/eq_diamond73.smt2,23,46
/home/cxcfan/dev/testbench/smt/bm/QF_UF/eq_diamond/eq_diamond63.smt2,20,42
/home/cxcfan/dev/testbench/smt/bm/QF_UF/eq_diamond/eq_diamond86.smt2,28,42
/home/cxcfan/dev/testbench/smt/bm/QF_UF/eq_diamond/eq_diamond8.smt2,8,21
/home/cxcfan/dev/testbench/smt/bm/QF_UF/eq_diamond/eq_diamond25.smt2,10,26
/home/cxcfan/dev/testbench/smt/bm/QF_UF/eq_diamond/eq_diamond57.smt2,16,40
/home/cxcfan/dev/testbench/smt/bm/QF_UF/eq_diamond/eq_diamond41.smt2,16,29
/home/cxcfan/dev/testbench/smt/bm/QF_UF/eq_diamond/eq_diamond53.smt2,17,39
/home/cxcfan/dev/testbench/smt/bm/QF_UF/eq_diamond/eq_diamond52.smt2,17,32
/home/cxcfan/dev/testbench/smt/bm/QF_UF/eq_diamond/eq_diamond28.smt2,10,27
/home/cxcfan/dev/testbench/smt/bm/QF_UF/eq_diamond/eq_diamond48.smt2,14,31
/home/cxcfan/dev/testbench/smt/bm/QF_UF/eq_diamond/eq_diamond99.smt2,26,51
/home/cxcfan/dev/testbench/smt/bm/QF_UF/eq_diamond/eq_diamond67.smt2,21,41
/home/cxcfan/dev/testbench/smt/bm/QF_UF/eq_diamond/eq_diamond78.smt2,23,45
/home/cxcfan/dev/testbench/smt/bm/QF_UF/eq_diamond/eq_diamond31.smt2,11,31
/home/cxcfan/dev/testbench/smt/bm/QF_UF/eq_diamond/eq_diamond40.smt2,14,38
/home/cxcfan/dev/testbench/smt/bm/QF_UF/eq_diamond/eq_diamond68.smt2,24,36
/home/cxcfan/dev/testbench/smt/bm/QF_UF/eq_diamond/eq_diamond34.smt2,16,22
/home/cxcfan/dev/testbench/smt/bm/QF_UF/eq_diamond/eq_diamond18.smt2,8,22
/home/cxcfan/dev/testbench/smt/bm/QF_UF/eq_diamond/eq_diamond37.smt2,13,24
/home/cxcfan/dev/testbench/smt/bm/QF_UF/eq_diamond/eq_diamond5.smt2,6,17
/home/cxcfan/dev/testbench/smt/bm/QF_UF/eq_diamond/eq_diamond88.smt2,25,39
