case,z3,pz3
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_1.smt2,27,94
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_10.smt2,66,1331
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_100.smt2,600000,600000
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_11.smt2,93,1996
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_12.smt2,169,1453
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_13.smt2,340,1745
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_14.smt2,718,2282
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_15.smt2,1527,1660
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_16.smt2,3514,2068
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_17.smt2,7077,2333
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_18.smt2,17406,1708
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_19.smt2,39054,2122
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_2.smt2,28,700
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_20.smt2,105957,1400
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_21.smt2,317292,1848
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_22.smt2,600000,1841
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_23.smt2,600000,1940
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_24.smt2,600000,2319
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_25.smt2,600000,1541
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_26.smt2,600000,2620
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_27.smt2,600000,1483
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_28.smt2,600000,1633
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_29.smt2,600000,2596
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_3.smt2,28,992
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_30.smt2,600000,1671
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_31.smt2,600000,2140
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_32.smt2,600000,1982
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_33.smt2,600000,1656
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_34.smt2,600000,2652
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_35.smt2,600000,1445
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_36.smt2,600000,2598
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_37.smt2,600000,2072
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_38.smt2,600000,1739
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_39.smt2,600000,2591
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_4.smt2,29,1220
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_40.smt2,600000,1721
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_41.smt2,600000,2450
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_42.smt2,600000,2404
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_43.smt2,600000,2071
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_44.smt2,600000,3293
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_45.smt2,600000,2177
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_46.smt2,600000,6804
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_48.smt2,600000,3799
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_49.smt2,600000,4885
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_5.smt2,29,1253
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_50.smt2,600000,3024
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_51.smt2,600000,6773
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_52.smt2,600000,5530
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_53.smt2,600000,3825
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_54.smt2,600000,6999
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_55.smt2,600000,4328
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_56.smt2,600000,5774
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_57.smt2,600000,5670
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_58.smt2,600000,6854
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_59.smt2,600000,11195
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_6.smt2,42,1528
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_60.smt2,600000,8562
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_61.smt2,600000,11545
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_62.smt2,600000,11888
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_63.smt2,600000,15200
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_64.smt2,600000,31480
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_65.smt2,600000,13375
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_66.smt2,600000,35338
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_67.smt2,600000,39855
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_68.smt2,600000,27934
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_69.smt2,600000,55691
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_7.smt2,41,1632
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_70.smt2,600000,58086
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_71.smt2,600000,118215
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_72.smt2,600000,72950
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_73.smt2,600000,72278
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_74.smt2,600000,85730
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_75.smt2,600000,101383
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_76.smt2,600000,600000
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_77.smt2,600000,161031
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_78.smt2,600000,128533
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_79.smt2,600000,208008
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_8.smt2,41,1912
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_80.smt2,600000,201173
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_81.smt2,600000,323804
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_82.smt2,600000,281048
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_83.smt2,600000,317127
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_84.smt2,600000,471054
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_85.smt2,600000,573036
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_86.smt2,600000,600000
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_87.smt2,600000,600000
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_88.smt2,600000,600000
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_89.smt2,600000,600000
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_9.smt2,43,2425
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_90.smt2,600000,600000
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_91.smt2,600000,600000
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_92.smt2,600000,600000
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_93.smt2,600000,600000
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_94.smt2,600000,600000
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_95.smt2,600000,600000
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_96.smt2,600000,600000
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_97.smt2,600000,600000
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_98.smt2,600000,600000
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_99.smt2,600000,600000
/home/tsmart/dev/chengxi/PZ3/bm/QF_UF/eq_diamond/eq_diamond1.smt2,26,93
/home/tsmart/dev/chengxi/PZ3/bm/QF_UF/eq_diamond/eq_diamond10.smt2,61,1006
/home/tsmart/dev/chengxi/PZ3/bm/QF_UF/eq_diamond/eq_diamond100.smt2,600000,600000
/home/tsmart/dev/chengxi/PZ3/bm/QF_UF/eq_diamond/eq_diamond11.smt2,112,1482
/home/tsmart/dev/chengxi/PZ3/bm/QF_UF/eq_diamond/eq_diamond12.smt2,172,1390
/home/tsmart/dev/chengxi/PZ3/bm/QF_UF/eq_diamond/eq_diamond13.smt2,326,813
/home/tsmart/dev/chengxi/PZ3/bm/QF_UF/eq_diamond/eq_diamond14.smt2,727,1719
/home/tsmart/dev/chengxi/PZ3/bm/QF_UF/eq_diamond/eq_diamond15.smt2,1564,1092
/home/tsmart/dev/chengxi/PZ3/bm/QF_UF/eq_diamond/eq_diamond16.smt2,3314,1520
/home/tsmart/dev/chengxi/PZ3/bm/QF_UF/eq_diamond/eq_diamond17.smt2,7157,1363
/home/tsmart/dev/chengxi/PZ3/bm/QF_UF/eq_diamond/eq_diamond18.smt2,18235,1176
/home/tsmart/dev/chengxi/PZ3/bm/QF_UF/eq_diamond/eq_diamond19.smt2,39631,1612
/home/tsmart/dev/chengxi/PZ3/bm/QF_UF/eq_diamond/eq_diamond2.smt2,30,565
/home/tsmart/dev/chengxi/PZ3/bm/QF_UF/eq_diamond/eq_diamond20.smt2,96575,1036
/home/tsmart/dev/chengxi/PZ3/bm/QF_UF/eq_diamond/eq_diamond21.smt2,309255,1825
/home/tsmart/dev/chengxi/PZ3/bm/QF_UF/eq_diamond/eq_diamond22.smt2,600000,1297
/home/tsmart/dev/chengxi/PZ3/bm/QF_UF/eq_diamond/eq_diamond23.smt2,600000,732
/home/tsmart/dev/chengxi/PZ3/bm/QF_UF/eq_diamond/eq_diamond24.smt2,600000,1480
/home/tsmart/dev/chengxi/PZ3/bm/QF_UF/eq_diamond/eq_diamond25.smt2,600000,1096
/home/tsmart/dev/chengxi/PZ3/bm/QF_UF/eq_diamond/eq_diamond26.smt2,600000,1433
/home/tsmart/dev/chengxi/PZ3/bm/QF_UF/eq_diamond/eq_diamond27.smt2,600000,1406
/home/tsmart/dev/chengxi/PZ3/bm/QF_UF/eq_diamond/eq_diamond28.smt2,600000,1248
/home/tsmart/dev/chengxi/PZ3/bm/QF_UF/eq_diamond/eq_diamond29.smt2,600000,2021
/home/tsmart/dev/chengxi/PZ3/bm/QF_UF/eq_diamond/eq_diamond3.smt2,26,770
/home/tsmart/dev/chengxi/PZ3/bm/QF_UF/eq_diamond/eq_diamond30.smt2,600000,1137
/home/tsmart/dev/chengxi/PZ3/bm/QF_UF/eq_diamond/eq_diamond31.smt2,600000,1476
/home/tsmart/dev/chengxi/PZ3/bm/QF_UF/eq_diamond/eq_diamond32.smt2,600000,1460
/home/tsmart/dev/chengxi/PZ3/bm/QF_UF/eq_diamond/eq_diamond33.smt2,600000,1302
/home/tsmart/dev/chengxi/PZ3/bm/QF_UF/eq_diamond/eq_diamond34.smt2,600000,1732
/home/tsmart/dev/chengxi/PZ3/bm/QF_UF/eq_diamond/eq_diamond35.smt2,600000,1402
/home/tsmart/dev/chengxi/PZ3/bm/QF_UF/eq_diamond/eq_diamond36.smt2,600000,1255
/home/tsmart/dev/chengxi/PZ3/bm/QF_UF/eq_diamond/eq_diamond37.smt2,600000,1832
/home/tsmart/dev/chengxi/PZ3/bm/QF_UF/eq_diamond/eq_diamond38.smt2,600000,1386
/home/tsmart/dev/chengxi/PZ3/bm/QF_UF/eq_diamond/eq_diamond39.smt2,600000,2306
