case,z3,pz3
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_10.smt2,66,8793
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_100.smt2,600000,14586
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_11.smt2,93,8135
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_12.smt2,169,6455
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_13.smt2,340,16564
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_14.smt2,718,11272
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_15.smt2,1527,11001
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_16.smt2,3514,12103
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_17.smt2,7077,11661
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_18.smt2,17406,13242
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_19.smt2,39054,18840
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_2.smt2,28,2359
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_20.smt2,105957,15545
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_21.smt2,317292,14135
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_22.smt2,600000,15107
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_23.smt2,600000,9361
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_24.smt2,600000,5395
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_26.smt2,600000,16452
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_27.smt2,600000,12883
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_28.smt2,600000,14781
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_29.smt2,600000,12271
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_3.smt2,28,2920
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_30.smt2,600000,12326
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_31.smt2,600000,16193
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_32.smt2,600000,15030
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_34.smt2,600000,12865
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_35.smt2,600000,11764
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_36.smt2,600000,7076
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_37.smt2,600000,18835
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_38.smt2,600000,16035
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_39.smt2,600000,15532
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_4.smt2,29,3387
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_40.smt2,600000,12653
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_41.smt2,600000,13817
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_43.smt2,600000,24186
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_44.smt2,600000,16220
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_45.smt2,600000,16646
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_46.smt2,600000,13355
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_47.smt2,600000,8971
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_48.smt2,600000,7423
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_49.smt2,600000,14522
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_5.smt2,29,4699
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_51.smt2,600000,15336
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_52.smt2,600000,13793
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_54.smt2,600000,10554
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_55.smt2,600000,19189
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_56.smt2,600000,16633
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_58.smt2,600000,12427
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_59.smt2,600000,10488
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_6.smt2,42,5075
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_60.smt2,600000,6664
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_61.smt2,600000,18318
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_62.smt2,600000,16721
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_63.smt2,600000,14970
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_64.smt2,600000,12380
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_65.smt2,600000,13394
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_66.smt2,600000,13456
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_67.smt2,600000,15623
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_68.smt2,600000,19080
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_69.smt2,600000,14002
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_7.smt2,41,6694
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_70.smt2,600000,14622
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_71.smt2,600000,9677
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_72.smt2,600000,6099
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_74.smt2,600000,16856
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_75.smt2,600000,15485
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_76.smt2,600000,14131
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_77.smt2,600000,12245
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_79.smt2,600000,17637
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_8.smt2,41,7857
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_80.smt2,600000,16137
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_81.smt2,600000,16728
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_84.smt2,600000,7325
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_85.smt2,600000,17662
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_86.smt2,600000,16402
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_87.smt2,600000,19356
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_88.smt2,600000,14527
