case,z3,pz3
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_1.smt2,27,120
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_10.smt2,66,3288
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_100.smt2,600000,600000
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_11.smt2,93,2822
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_12.smt2,169,1477
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_13.smt2,340,3542
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_14.smt2,718,2575
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_15.smt2,1527,2757
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_16.smt2,3514,3916
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_17.smt2,7077,2421
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_18.smt2,17406,2073
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_19.smt2,39054,3848
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_2.smt2,28,895
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_20.smt2,105957,3955
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_21.smt2,317292,2813
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_22.smt2,600000,3693
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_23.smt2,600000,3185
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_24.smt2,600000,2115
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_25.smt2,600000,4434
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_26.smt2,600000,2601
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_27.smt2,600000,2579
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_28.smt2,600000,3063
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_29.smt2,600000,3143
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_3.smt2,28,1086
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_30.smt2,600000,1806
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_31.smt2,600000,4497
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_32.smt2,600000,2635
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_33.smt2,600000,2845
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_34.smt2,600000,3296
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_35.smt2,600000,3369
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_36.smt2,600000,1976
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_37.smt2,600000,3800
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_38.smt2,600000,2795
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_39.smt2,600000,2809
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_4.smt2,29,1473
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_40.smt2,600000,5102
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_41.smt2,600000,3295
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_42.smt2,600000,1894
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_43.smt2,600000,3516
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_44.smt2,600000,3649
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_45.smt2,600000,3312
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_46.smt2,600000,5058
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_47.smt2,600000,4188
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_48.smt2,600000,2258
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_49.smt2,600000,3146
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_5.smt2,29,1790
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_50.smt2,600000,3412
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_51.smt2,600000,3521
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_52.smt2,600000,4636
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_53.smt2,600000,4305
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_54.smt2,600000,3057
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_55.smt2,600000,8569
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_56.smt2,600000,4493
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_57.smt2,600000,4741
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_58.smt2,600000,6480
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_59.smt2,600000,4318
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_6.smt2,42,1550
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_60.smt2,600000,4092
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_61.smt2,600000,8846
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_62.smt2,600000,6858
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_63.smt2,600000,5263
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_64.smt2,600000,9017
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_65.smt2,600000,6929
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_66.smt2,600000,4985
