case,equality,constant,z3,pz3,ratio
/home/tsmart/dev/chengxi/PZ3/eval/gen/problem_56.smt2,0.399554814,0.003211196,3636,7140,0.127
/home/tsmart/dev/chengxi/PZ3/eval/gen/problem_57.smt2,0.22982749,0.012527913,600000,600000,0.25
/home/tsmart/dev/chengxi/PZ3/eval/gen/problem_58.smt2,0.247634947,0.007946535,600000,600000,0.25
/home/tsmart/dev/chengxi/PZ3/eval/gen/problem_59.smt2,0.721202003,0.285794043,8353,1354,1.542
/home/tsmart/dev/chengxi/PZ3/eval/gen/problem_60.smt2,0.165831942,0.436539386,3300,1626,0.507
/home/tsmart/dev/chengxi/PZ3/eval/gen/problem_61.smt2,0.002782415,0.126252612,356,303,0.294
/home/tsmart/dev/chengxi/PZ3/eval/gen/problem_62.smt2,0.628269338,0.095562926,5750,1256,1.145
/home/tsmart/dev/chengxi/PZ3/eval/gen/problem_63.smt2,0.043405676,0.001106018,125,3374,0.009
/home/tsmart/dev/chengxi/PZ3/eval/gen/problem_64.smt2,0.326655537,0.101205676,4051,1976,0.513
/home/tsmart/dev/chengxi/PZ3/eval/gen/problem_65.smt2,0.227045075,0.226632498,4482,1965,0.57
/home/tsmart/dev/chengxi/PZ3/eval/gen/problem_66.smt2,0.434613244,0.045112319,4305,2126,0.506
/home/tsmart/dev/chengxi/PZ3/eval/gen/problem_67.smt2,0.42459655,0.001655001,5357,5347,0.25
/home/tsmart/dev/chengxi/PZ3/eval/gen/problem_68.smt2,0.847523651,0.004095678,7822,7098,0.276
/home/tsmart/dev/chengxi/PZ3/eval/gen/problem_69.smt2,0.69115192,0.11002909,7654,1350,1.417
/home/tsmart/dev/chengxi/PZ3/eval/gen/problem_70.smt2,0.880912632,0.063680364,8490,1763,1.204
/home/tsmart/dev/chengxi/PZ3/eval/gen/problem_71.smt2,0.529215359,0.005482017,4483,4615,0.243
/home/tsmart/dev/chengxi/PZ3/eval/gen/problem_72.smt2,0.959376739,0.456394906,11383,1642,1.733
/home/tsmart/dev/chengxi/PZ3/eval/gen/problem_73.smt2,0.744017807,0.031753593,8235,2631,0.782
/home/tsmart/dev/chengxi/PZ3/eval/gen/problem_74.smt2,0.79410128,0.001398798,2717,7481,0.091
/home/tsmart/dev/chengxi/PZ3/eval/gen/problem_75.smt2,0.036171397,0.012570472,408,1988,0.051
/home/tsmart/dev/chengxi/PZ3/eval/gen/problem_76.smt2,0.942682248,0.006946889,9307,8162,0.285
/home/tsmart/dev/chengxi/PZ3/eval/gen/problem_77.smt2,0.281580412,0.041373548,4115,4194,0.245
/home/tsmart/dev/chengxi/PZ3/eval/gen/problem_78.smt2,0.04785754,0.055236316,316,3200,0.025
/home/tsmart/dev/chengxi/PZ3/eval/gen/problem_79.smt2,0.523650529,0.017286505,2449,4463,0.137
/home/tsmart/dev/chengxi/PZ3/eval/gen/problem_80.smt2,0.171953255,0.032790625,2787,3403,0.205
/home/tsmart/dev/chengxi/PZ3/eval/gen/problem_81.smt2,0.376739009,0.003786677,4899,6265,0.195
/home/tsmart/dev/chengxi/PZ3/eval/gen/problem_82.smt2,0.64162493,0.044556851,5411,2720,0.497
/home/tsmart/dev/chengxi/PZ3/eval/gen/problem_83.smt2,0.726210351,0.000773828,3190,7116,0.112
/home/tsmart/dev/chengxi/PZ3/eval/gen/problem_84.smt2,0.489148581,0.102448839,7367,1105,1.667
/home/tsmart/dev/chengxi/PZ3/eval/gen/problem_85.smt2,0.29771842,0.008670576,4846,7497,0.162
/home/tsmart/dev/chengxi/PZ3/eval/gen/problem_86.smt2,0.539788536,0.039854908,9192,4523,0.508
/home/tsmart/dev/chengxi/PZ3/eval/gen/problem_87.smt2,0.552031163,0.09523945,1351,1340,0.252
/home/tsmart/dev/chengxi/PZ3/eval/gen/problem_88.smt2,0.858653311,0.001873501,3019,4802,0.157
/home/tsmart/dev/chengxi/PZ3/eval/gen/problem_89.smt2,0.468002226,0.001800264,2122,5005,0.106
/home/tsmart/dev/chengxi/PZ3/eval/gen/problem_90.smt2,0.355592654,0.000973246,749,5288,0.035
/home/tsmart/dev/chengxi/PZ3/eval/gen/problem_91.smt2,0.131886477,0.00131488,1365,7912,0.043
/home/tsmart/dev/chengxi/PZ3/eval/gen/problem_92.smt2,0.321090707,0.185478457,4624,2600,0.445
/home/tsmart/dev/chengxi/PZ3/eval/gen/problem_93.smt2,0.595993322,0.038144128,8758,3703,0.591
/home/tsmart/dev/chengxi/PZ3/eval/gen/problem_94.smt2,0.846410684,0.042555142,8701,1992,1.092
/home/tsmart/dev/chengxi/PZ3/eval/gen/problem_95.smt2,0.288258208,0.040537459,2802,4879,0.144
/home/tsmart/dev/chengxi/PZ3/eval/gen/problem_96.smt2,0.364496383,0.000525661,1487,5746,0.065
/home/tsmart/dev/chengxi/PZ3/eval/gen/problem_97.smt2,0.217028381,0.000851126,3843,3267,0.294
/home/tsmart/dev/chengxi/PZ3/eval/gen/problem_98.smt2,0.289371174,0.101044517,5260,810,1.623
/home/tsmart/dev/chengxi/PZ3/eval/gen/problem_99.smt2,0.701725097,0.039661819,7231,3080,0.587
/home/tsmart/dev/chengxi/PZ3/eval/gen/problem_100.smt2,0.595993322,0.025375911,8451,5258,0.402
/home/tsmart/dev/chengxi/PZ3/eval/gen/problem_101.smt2,0.995548136,0.042090092,5624,1980,0.71
/home/tsmart/dev/chengxi/PZ3/eval/gen/problem_102.smt2,0.721202003,0.139412447,8493,1412,1.504
/home/tsmart/dev/chengxi/PZ3/eval/gen/problem_103.smt2,0.589315526,0.011242378,7321,4928,0.371
/home/tsmart/dev/chengxi/PZ3/eval/gen/problem_104.smt2,0.263216472,0.003384706,19373,129901,0.037
/home/tsmart/dev/chengxi/PZ3/eval/gen/problem_105.smt2,0.838063439,0.019251813,3617,1964,0.46
/home/tsmart/dev/chengxi/PZ3/eval/gen/problem_106.smt2,0.894268225,0.003659239,6564,7394,0.222
/home/tsmart/dev/chengxi/PZ3/eval/gen/problem_107.smt2,0.429048414,0.007599211,4094,7307,0.14
/home/tsmart/dev/chengxi/PZ3/eval/gen/problem_108.smt2,0.322760156,0.031762082,2843,3011,0.236
/home/tsmart/dev/chengxi/PZ3/eval/gen/problem_109.smt2,0.561491375,0.00175404,1418,3383,0.105
/home/tsmart/dev/chengxi/PZ3/eval/gen/problem_110.smt2,0.159154146,0.001310308,3051,7511,0.102
/home/tsmart/dev/chengxi/PZ3/eval/gen/problem_111.smt2,0.2426266,0.000828944,1226,2996,0.102
/home/tsmart/dev/chengxi/PZ3/eval/gen/problem_112.smt2,0.757929883,0.083892119,1735,1970,0.22
/home/tsmart/dev/chengxi/PZ3/eval/gen/problem_113.smt2,0.205342237,0.076411829,3136,4769,0.164
/home/tsmart/dev/chengxi/PZ3/eval/gen/problem_114.smt2,0.128547579,0.032776358,559,2808,0.05
/home/tsmart/dev/chengxi/PZ3/eval/gen/problem_115.smt2,0.713411241,0.009190777,4255,5833,0.182
/home/tsmart/dev/chengxi/PZ3/eval/gen/problem_116.smt2,0.563160824,0.185758151,7053,1347,1.309
/home/tsmart/dev/chengxi/PZ3/eval/gen/problem_117.smt2,0.760712298,0.001336407,2494,1302,0.479
/home/tsmart/dev/chengxi/PZ3/eval/gen/problem_118.smt2,0.400111297,0.03608599,6006,4893,0.307
/home/tsmart/dev/chengxi/PZ3/eval/gen/problem_119.smt2,0.780745687,0.001899506,5064,6032,0.21
/home/tsmart/dev/chengxi/PZ3/eval/gen/problem_120.smt2,0.166944908,0.00140706,2256,7008,0.08
/home/tsmart/dev/chengxi/PZ3/eval/gen/problem_121.smt2,0.574846967,0.279711958,8688,1338,1.623
/home/tsmart/dev/chengxi/PZ3/eval/gen/problem_122.smt2,0.140233723,0.469064449,633,1563,0.101
/home/tsmart/dev/chengxi/PZ3/eval/gen/problem_123.smt2,0.593210907,0.008355781,5608,5518,0.254
/home/tsmart/dev/chengxi/PZ3/eval/gen/problem_124.smt2,0.633277685,0.002608201,1973,2720,0.181
/home/tsmart/dev/chengxi/PZ3/eval/gen/problem_125.smt2,0.033388982,0.010503639,375,2816,0.033
/home/tsmart/dev/chengxi/PZ3/eval/gen/problem_126.smt2,0.850306066,0.000521719,2659,4875,0.136
