case,z3,pz3
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_1.smt2,27,249
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_10.smt2,66,7374
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_100.smt2,600000,22125
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_11.smt2,93,4809
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_12.smt2,169,9024
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_13.smt2,340,15893
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_14.smt2,718,9500
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_15.smt2,1527,9939
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_16.smt2,3514,9300
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_17.smt2,7077,9772
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_18.smt2,17406,14034
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_19.smt2,39054,13380
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_2.smt2,28,2016
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_20.smt2,105957,10816
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_21.smt2,317292,8185
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_22.smt2,600000,5472
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_23.smt2,600000,13864
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_24.smt2,600000,12825
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_25.smt2,600000,10435
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_26.smt2,600000,12105
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_27.smt2,600000,9895
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_29.smt2,600000,14261
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_3.smt2,28,2552
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_30.smt2,600000,12627
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_31.smt2,600000,10806
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_32.smt2,600000,9906
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_33.smt2,600000,5421
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_34.smt2,600000,14109
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_35.smt2,600000,14806
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_36.smt2,600000,13526
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_37.smt2,600000,12730
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_39.smt2,600000,10934
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_4.smt2,29,3271
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_40.smt2,600000,15700
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_41.smt2,600000,13242
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_42.smt2,600000,11418
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_43.smt2,600000,7584
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_44.smt2,600000,6285
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_45.smt2,600000,14400
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_46.smt2,600000,13828
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_47.smt2,600000,10816
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_48.smt2,600000,13107
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_49.smt2,600000,8896
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_5.smt2,29,4161
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_50.smt2,600000,9807
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_51.smt2,600000,14377
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_52.smt2,600000,13581
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_53.smt2,600000,9538
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_54.smt2,600000,7506
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_55.smt2,600000,7028
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_56.smt2,600000,15174
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_58.smt2,600000,11404
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_59.smt2,600000,11422
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_6.smt2,42,4786
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_60.smt2,600000,10373
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_61.smt2,600000,9046
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_62.smt2,600000,15379
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_63.smt2,600000,12158
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_64.smt2,600000,11035
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_65.smt2,600000,9445
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_66.smt2,600000,5136
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_68.smt2,600000,12549
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_69.smt2,600000,13210
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_7.smt2,41,5691
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_70.smt2,600000,10468
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_71.smt2,600000,11798
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_72.smt2,600000,10585
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_73.smt2,600000,16146
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_74.smt2,600000,13806
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_75.smt2,600000,13162
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_76.smt2,600000,9290
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_77.smt2,600000,6221
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_78.smt2,600000,13759
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_79.smt2,600000,14296
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_8.smt2,41,6455
