case,z3,pz3
/home/tsmart/dev/chengxi/PZ3/bm/QF_UF/eq_diamond/eq_diamond1.smt2,26,63
/home/tsmart/dev/chengxi/PZ3/bm/QF_UF/eq_diamond/eq_diamond10.smt2,61,650
/home/tsmart/dev/chengxi/PZ3/bm/QF_UF/eq_diamond/eq_diamond100.smt2,600000,600000
/home/tsmart/dev/chengxi/PZ3/bm/QF_UF/eq_diamond/eq_diamond11.smt2,112,941
/home/tsmart/dev/chengxi/PZ3/bm/QF_UF/eq_diamond/eq_diamond12.smt2,172,656
/home/tsmart/dev/chengxi/PZ3/bm/QF_UF/eq_diamond/eq_diamond13.smt2,326,859
/home/tsmart/dev/chengxi/PZ3/bm/QF_UF/eq_diamond/eq_diamond14.smt2,727,744
/home/tsmart/dev/chengxi/PZ3/bm/QF_UF/eq_diamond/eq_diamond15.smt2,1564,1023
/home/tsmart/dev/chengxi/PZ3/bm/QF_UF/eq_diamond/eq_diamond16.smt2,3314,741
/home/tsmart/dev/chengxi/PZ3/bm/QF_UF/eq_diamond/eq_diamond17.smt2,7157,621
/home/tsmart/dev/chengxi/PZ3/bm/QF_UF/eq_diamond/eq_diamond18.smt2,18235,797
/home/tsmart/dev/chengxi/PZ3/bm/QF_UF/eq_diamond/eq_diamond19.smt2,39631,935
/home/tsmart/dev/chengxi/PZ3/bm/QF_UF/eq_diamond/eq_diamond2.smt2,30,373
/home/tsmart/dev/chengxi/PZ3/bm/QF_UF/eq_diamond/eq_diamond20.smt2,96575,909
/home/tsmart/dev/chengxi/PZ3/bm/QF_UF/eq_diamond/eq_diamond21.smt2,309255,867
/home/tsmart/dev/chengxi/PZ3/bm/QF_UF/eq_diamond/eq_diamond22.smt2,600000,755
/home/tsmart/dev/chengxi/PZ3/bm/QF_UF/eq_diamond/eq_diamond23.smt2,600000,932
/home/tsmart/dev/chengxi/PZ3/bm/QF_UF/eq_diamond/eq_diamond24.smt2,600000,780
/home/tsmart/dev/chengxi/PZ3/bm/QF_UF/eq_diamond/eq_diamond25.smt2,600000,856
/home/tsmart/dev/chengxi/PZ3/bm/QF_UF/eq_diamond/eq_diamond26.smt2,600000,847
/home/tsmart/dev/chengxi/PZ3/bm/QF_UF/eq_diamond/eq_diamond27.smt2,600000,1086
/home/tsmart/dev/chengxi/PZ3/bm/QF_UF/eq_diamond/eq_diamond28.smt2,600000,792
/home/tsmart/dev/chengxi/PZ3/bm/QF_UF/eq_diamond/eq_diamond29.smt2,600000,754
/home/tsmart/dev/chengxi/PZ3/bm/QF_UF/eq_diamond/eq_diamond3.smt2,26,532
/home/tsmart/dev/chengxi/PZ3/bm/QF_UF/eq_diamond/eq_diamond30.smt2,600000,1238
/home/tsmart/dev/chengxi/PZ3/bm/QF_UF/eq_diamond/eq_diamond31.smt2,600000,1460
/home/tsmart/dev/chengxi/PZ3/bm/QF_UF/eq_diamond/eq_diamond32.smt2,600000,1075
/home/tsmart/dev/chengxi/PZ3/bm/QF_UF/eq_diamond/eq_diamond33.smt2,600000,1224
/home/tsmart/dev/chengxi/PZ3/bm/QF_UF/eq_diamond/eq_diamond34.smt2,600000,894
/home/tsmart/dev/chengxi/PZ3/bm/QF_UF/eq_diamond/eq_diamond35.smt2,600000,1307
/home/tsmart/dev/chengxi/PZ3/bm/QF_UF/eq_diamond/eq_diamond36.smt2,600000,1269
/home/tsmart/dev/chengxi/PZ3/bm/QF_UF/eq_diamond/eq_diamond37.smt2,600000,2010
/home/tsmart/dev/chengxi/PZ3/bm/QF_UF/eq_diamond/eq_diamond38.smt2,600000,1501
/home/tsmart/dev/chengxi/PZ3/bm/QF_UF/eq_diamond/eq_diamond39.smt2,600000,2437
/home/tsmart/dev/chengxi/PZ3/bm/QF_UF/eq_diamond/eq_diamond4.smt2,424,594
/home/tsmart/dev/chengxi/PZ3/bm/QF_UF/eq_diamond/eq_diamond40.smt2,600000,1837
/home/tsmart/dev/chengxi/PZ3/bm/QF_UF/eq_diamond/eq_diamond41.smt2,600000,2731
